District,RentType,Area,Price,UnitPrice,HouseFloor,BuldFloor,ElevatorFlag,CommunityID,Geometry
YX,Whole,13,1800,138,M,4,0,1104,"23 7m 11.4794s N, 113 15m 4.04806s E"
LW,Whole,33,4000,121,L,1,0,2884,"23 5m 14.5274s N, 113 13m 12.8483s E"
TH,Whole,45,4500,100,L,28,1,1232,"23 7m 34.7016s N, 113 18m 39.3906s E"
TH,Whole,45,4700,104,M,28,1,1232,"23 7m 34.7016s N, 113 18m 39.3906s E"
PY,Whole,140,4300,30,H,26,0,1008,"22 57m 18.6879s N, 113 21m 0.152388s E"
PY,Whole,140,4500,32,M,32,0,1008,"22 57m 18.6879s N, 113 21m 0.152388s E"
PY,Whole,70,3000,42,H,32,0,1008,"22 57m 18.6879s N, 113 21m 0.152388s E"
PY,Whole,70,2500,35,M,39,0,1008,"22 57m 18.6879s N, 113 21m 0.152388s E"
PY,Whole,65,1900,29,M,8,0,2885,"22 56m 18.2671s N, 113 22m 11.1986s E"
PY,Whole,110,5000,45,L,32,1,2886,"22 58m 34.2698s N, 113 20m 14.4253s E"
PY,Whole,174,8000,45,H,32,1,2886,"22 58m 34.2698s N, 113 20m 14.4253s E"
PY,Whole,213,10500,49,H,32,1,2886,"22 58m 34.2698s N, 113 20m 14.4253s E"
PY,Whole,178,10000,56,L,32,1,2886,"22 58m 34.2698s N, 113 20m 14.4253s E"
CH,Whole,48,1700,35,M,18,1,2887,"23 32m 4.53261s N, 113 35m 9.78596s E"
PY,Whole,81,3800,46,M,11,1,2888,"22 59m 27.41s N, 113 20m 26.932s E"
PY,Whole,140,3800,27,M,32,1,922,"22 59m 23.1478s N, 113 16m 24.1508s E"
PY,Whole,140,3200,22,L,32,1,922,"22 59m 23.1478s N, 113 16m 24.1508s E"
TH,Whole,110,7500,68,H,24,1,747,"23 7m 53.4854s N, 113 20m 17.3479s E"
TH,Whole,79,3500,44,M,9,0,2890,"23 7m 23.8059s N, 113 22m 6.83885s E"
BY,Whole,50,3000,60,L,9,0,520,"23 10m 18.6928s N, 113 15m 43.5059s E"
BY,Whole,100,4500,45,L,9,0,520,"23 10m 18.6928s N, 113 15m 43.5059s E"
BY,Whole,97,1600,16,H,9,0,2891,"23 10m 51.386s N, 113 14m 56.5893s E"
HZ,Whole,43,2300,53,L,12,1,2892,"23 4m 45.9442s N, 113 16m 27.6249s E"
PY,Whole,400,15000,37,L,1,0,1012,"23 2m 32.1968s N, 113 17m 41.5096s E"
HZ,Whole,64,3000,46,M,9,0,2893,"23 4m 29.711s N, 113 15m 47.2495s E"
HD,Whole,122,3300,27,L,12,1,2894,"23 24m 5.91299s N, 113 13m 43.496s E"
BY,Whole,25,2000,80,L,9,0,799,"23 11m 34.4789s N, 113 15m 14.2451s E"
PY,Whole,50,1700,34,M,9,0,2895,"23 1m 36.5198s N, 113 18m 20.515s E"
PY,Whole,82,2600,31,H,9,0,2895,"23 1m 36.5198s N, 113 18m 20.515s E"
YX,Whole,83,6500,78,L,31,1,1383,"23 7m 38.9184s N, 113 15m 0.0651183s E"
HP,Whole,56,2800,50,L,31,1,370,"23 6m 34.3434s N, 113 27m 50.96s E"
HP,Whole,37,2500,67,H,34,1,370,"23 6m 34.3434s N, 113 27m 50.96s E"
HP,Whole,51,3700,72,H,31,1,370,"23 6m 34.3434s N, 113 27m 50.96s E"
HP,Whole,128,4800,37,M,30,1,370,"23 6m 34.3434s N, 113 27m 50.96s E"
NS,Whole,115,3000,26,M,24,1,2896,"22 47m 41.5086s N, 113 31m 54.4713s E"
NS,Whole,87,2500,28,L,26,1,2896,"22 47m 41.5086s N, 113 31m 54.4713s E"
NS,Whole,112,3200,28,M,28,0,2896,"22 47m 41.5086s N, 113 31m 54.4713s E"
PY,Whole,97,2400,24,M,6,0,2897,"22 57m 21.7328s N, 113 16m 52.7213s E"
PY,Whole,78,2300,29,M,7,0,2897,"22 57m 21.7328s N, 113 16m 52.7213s E"
TH,Whole,150,6500,43,M,30,1,2898,"23 8m 45.3453s N, 113 20m 24.5768s E"
YX,Whole,98,5700,58,M,31,1,708,"23 7m 18.1862s N, 113 16m 46.0872s E"
ZC,Whole,102,1800,17,M,26,0,2899,"23 17m 2.37281s N, 113 45m 46.7077s E"
BY,Whole,73,2600,35,L,10,0,461,"23 9m 34.6811s N, 113 12m 5.34042s E"
BY,Whole,65,2400,36,M,10,0,461,"23 9m 34.6811s N, 113 12m 5.34042s E"
BY,Whole,72,2300,31,M,9,0,461,"23 9m 34.6811s N, 113 12m 5.34042s E"
YX,Whole,86,4500,52,H,39,1,2900,"23 7m 10.0115s N, 113 15m 44.3353s E"
YX,Whole,86,5300,61,H,39,1,2900,"23 7m 10.0115s N, 113 15m 44.3353s E"
HZ,Whole,97,6000,61,M,25,1,2901,"23 5m 39.7214s N, 113 19m 29.7183s E"
HZ,Whole,81,4500,55,M,24,1,2901,"23 5m 39.7214s N, 113 19m 29.7183s E"
NS,Whole,97,2500,25,H,33,0,582,"22 48m 3.7679s N, 113 32m 59.3538s E"
HZ,Whole,110,5200,47,H,7,0,2902,"23 5m 30.3192s N, 113 19m 19.8967s E"
BY,Whole,83,3500,42,H,18,1,1130,"23 9m 3.97633s N, 113 12m 4.39783s E"
BY,Whole,97,4000,41,M,18,1,1130,"23 9m 3.97633s N, 113 12m 4.39783s E"
YX,Whole,80,4800,60,L,9,0,2903,"23 7m 13.5542s N, 113 16m 56.4964s E"
YX,Whole,80,4800,60,L,9,0,2903,"23 7m 13.5542s N, 113 16m 56.4964s E"
LW,Whole,76,4800,63,L,26,1,860,"23 7m 45.3287s N, 113 12m 33.0576s E"
LW,Whole,33,4000,121,L,21,1,860,"23 7m 45.3287s N, 113 12m 33.0576s E"
YX,Whole,47,2800,59,M,8,0,366,"23 7m 15.0457s N, 113 15m 1.54615s E"
YX,Whole,20,2500,125,M,5,0,366,"23 7m 15.0457s N, 113 15m 1.54615s E"
YX,Whole,20,2500,125,M,5,0,366,"23 7m 15.0457s N, 113 15m 1.54615s E"
YX,Whole,15,2000,133,M,5,0,366,"23 7m 15.0457s N, 113 15m 1.54615s E"
YX,Whole,20,2200,110,L,5,0,366,"23 7m 15.0457s N, 113 15m 1.54615s E"
YX,Whole,20,2800,140,H,5,0,366,"23 7m 15.0457s N, 113 15m 1.54615s E"
PY,Whole,127,4200,33,L,33,1,1432,"22 58m 16.6372s N, 113 22m 3.81305s E"
HZ,Whole,158,8500,53,H,31,1,1000,"23 5m 19.9542s N, 113 14m 53.3069s E"
LW,Whole,70,3500,50,M,8,0,2904,"23 8m 46.6701s N, 113 14m 3.04612s E"
HZ,Whole,129,5000,38,M,28,1,2905,"23 7m 19.5715s N, 113 19m 19.2031s E"
HZ,Whole,129,5500,42,H,28,1,2905,"23 7m 19.5715s N, 113 19m 19.2031s E"
LW,Whole,60,3800,63,M,32,1,2906,"23 7m 12.7771s N, 113 14m 18.6436s E"
YX,Whole,35,2700,77,H,31,1,2907,"23 7m 19.1715s N, 113 18m 11.7422s E"
YX,Whole,85,5800,68,M,31,1,2907,"23 7m 19.1715s N, 113 18m 11.7422s E"
HZ,Whole,50,2700,54,M,7,0,2908,"23 6m 19.2s N, 113 14m 54.804s E"
HD,Whole,132,5000,37,M,11,1,2909,"23 24m 8.89047s N, 113 13m 35.5697s E"
HD,Whole,139,3800,27,M,9,1,2909,"23 24m 8.89047s N, 113 13m 35.5697s E"
TH,Whole,67,5000,74,M,31,1,1131,"23 8m 30.8869s N, 113 20m 3.11811s E"
TH,Whole,94,8000,85,L,33,1,740,"23 7m 31.5898s N, 113 18m 44.8377s E"
TH,Whole,98,8500,86,M,33,1,740,"23 7m 31.5898s N, 113 18m 44.8377s E"
PY,Whole,80,2500,31,L,1,0,2910,"22 56m 32.4212s N, 113 22m 25.3393s E"
NS,Whole,66,1900,28,H,20,1,2911,"22 48m 4.65571s N, 113 33m 19.0903s E"
YX,Whole,68,4500,66,L,7,0,511,"23 8m 19.1563s N, 113 18m 2.68979s E"
BY,Whole,86,2500,29,L,9,0,2912,"23 10m 36.159s N, 113 14m 4.80367s E"
TH,Whole,100,5100,51,L,9,0,2913,"23 7m 58.1446s N, 113 22m 23.6169s E"
TH,Whole,97,4600,47,L,9,1,2913,"23 7m 58.1446s N, 113 22m 23.6169s E"
